event,bloc,delta,p
2024-01-26,Gauche radicale,-0.04770627588403964,0.44832558517304655
2024-01-26,Gauche moderee,0.3250517598343686,0.08312733635237801
2024-01-26,Centre / Majorite,-0.10322580645161283,0.3388576654440041
2024-01-26,Droite,0.18557794273594896,0.40007383958901477
2024-05-07,Gauche radicale,0.12150159208982747,0.0015806564854549659
2024-05-07,Gauche moderee,0.518041237113402,0.0011951130800336915
2024-05-07,Centre / Majorite,0.301404853128991,0.03060263572349832
2024-05-07,Droite,-0.2219227313566936,0.07237941499571293
2025-01-15,Gauche radicale,-0.16330858960763517,0.036685820324134026
2025-01-15,Gauche moderee,-0.33333333333333337,0.2837373670320056
2025-01-15,Centre / Majorite,-0.5877742946708464,0.008391970822298754
2025-01-15,Droite,-1.0285714285714285,0.007555892418278896
