month,bloc,stance_v3,month_ts
2023-10,Centre / Majorite,-0.8980392156862745,2023-10-01
2023-10,Droite,-1.4466666666666668,2023-10-01
2023-10,Gauche moderee,0.6470588235294118,2023-10-01
2023-10,Gauche radicale,1.2651162790697674,2023-10-01
2023-11,Centre / Majorite,-0.8130841121495327,2023-11-01
2023-11,Droite,-1.1869158878504673,2023-11-01
2023-11,Gauche moderee,0.6545454545454545,2023-11-01
2023-11,Gauche radicale,1.3734939759036144,2023-11-01
2023-12,Centre / Majorite,-0.2,2023-12-01
2023-12,Droite,-1.125,2023-12-01
2023-12,Gauche moderee,0.875,2023-12-01
2023-12,Gauche radicale,1.4904458598726114,2023-12-01
2024-01,Centre / Majorite,-0.8125,2024-01-01
2024-01,Droite,-1.375,2024-01-01
2024-01,Gauche moderee,1.2666666666666666,2024-01-01
2024-01,Gauche radicale,1.7300884955752212,2024-01-01
2024-02,Centre / Majorite,-0.8615384615384616,2024-02-01
2024-02,Droite,-1.375,2024-02-01
2024-02,Gauche moderee,1.1818181818181819,2024-02-01
2024-02,Gauche radicale,1.5644444444444445,2024-02-01
2024-03,Centre / Majorite,-0.7872340425531915,2024-03-01
2024-03,Droite,-1.6164383561643836,2024-03-01
2024-03,Gauche moderee,1.3863636363636365,2024-03-01
2024-03,Gauche radicale,1.4938271604938271,2024-03-01
2024-04,Centre / Majorite,-0.8823529411764706,2024-04-01
2024-04,Droite,-1.2941176470588236,2024-04-01
2024-04,Gauche moderee,0.7441860465116279,2024-04-01
2024-04,Gauche radicale,1.5759312320916905,2024-04-01
2024-05,Centre / Majorite,-0.6153846153846154,2024-05-01
2024-05,Droite,-1.5238095238095237,2024-05-01
2024-05,Gauche moderee,1.2173913043478262,2024-05-01
2024-05,Gauche radicale,1.7269736842105263,2024-05-01
2024-06,Centre / Majorite,-0.7115384615384616,2024-06-01
2024-06,Droite,-1.56,2024-06-01
2024-06,Gauche moderee,0.875,2024-06-01
2024-06,Gauche radicale,1.4603174603174602,2024-06-01
2024-07,Centre / Majorite,-0.7407407407407407,2024-07-01
2024-07,Droite,-1.65,2024-07-01
2024-07,Gauche moderee,1.0,2024-07-01
2024-07,Gauche radicale,1.6748466257668713,2024-07-01
2024-08,Centre / Majorite,-1.3142857142857143,2024-08-01
2024-08,Droite,-1.411764705882353,2024-08-01
2024-08,Gauche moderee,0.4375,2024-08-01
2024-08,Gauche radicale,1.6161616161616161,2024-08-01
2024-09,Centre / Majorite,-1.2,2024-09-01
2024-09,Droite,-1.263157894736842,2024-09-01
2024-09,Gauche moderee,1.0952380952380953,2024-09-01
2024-09,Gauche radicale,1.5422222222222222,2024-09-01
2024-10,Centre / Majorite,-0.8714285714285714,2024-10-01
2024-10,Droite,-1.065217391304348,2024-10-01
2024-10,Gauche moderee,1.1304347826086956,2024-10-01
2024-10,Gauche radicale,1.708,2024-10-01
2024-11,Centre / Majorite,-0.9333333333333333,2024-11-01
2024-11,Droite,-1.2093023255813953,2024-11-01
2024-11,Gauche moderee,1.131578947368421,2024-11-01
2024-11,Gauche radicale,1.5980861244019138,2024-11-01
2024-12,Centre / Majorite,-0.8333333333333334,2024-12-01
2024-12,Droite,-0.6,2024-12-01
2024-12,Gauche moderee,1.1,2024-12-01
2024-12,Gauche radicale,1.796116504854369,2024-12-01
2025-01,Centre / Majorite,-0.3902439024390244,2025-01-01
2025-01,Droite,-0.9032258064516129,2025-01-01
2025-01,Gauche moderee,0.8620689655172413,2025-01-01
2025-01,Gauche radicale,1.5045871559633028,2025-01-01
2025-02,Centre / Majorite,-1.0227272727272727,2025-02-01
2025-02,Droite,-1.6,2025-02-01
2025-02,Gauche moderee,0.5833333333333334,2025-02-01
2025-02,Gauche radicale,1.4054054054054055,2025-02-01
2025-03,Centre / Majorite,-0.723404255319149,2025-03-01
2025-03,Droite,-1.3902439024390243,2025-03-01
2025-03,Gauche moderee,1.0555555555555556,2025-03-01
2025-03,Gauche radicale,1.403973509933775,2025-03-01
2025-04,Centre / Majorite,-0.5384615384615384,2025-04-01
2025-04,Droite,-1.5416666666666667,2025-04-01
2025-04,Gauche moderee,0.8571428571428571,2025-04-01
2025-04,Gauche radicale,1.6652173913043478,2025-04-01
2025-05,Centre / Majorite,-0.47540983606557374,2025-05-01
2025-05,Droite,-1.5,2025-05-01
2025-05,Gauche moderee,0.88,2025-05-01
2025-05,Gauche radicale,1.5695792880258899,2025-05-01
2025-06,Centre / Majorite,-0.5603448275862069,2025-06-01
2025-06,Droite,-1.386138613861386,2025-06-01
2025-06,Gauche moderee,0.8947368421052632,2025-06-01
2025-06,Gauche radicale,1.635036496350365,2025-06-01
2025-07,Centre / Majorite,-0.6774193548387096,2025-07-01
2025-07,Droite,-1.4935064935064934,2025-07-01
2025-07,Gauche moderee,1.4,2025-07-01
2025-07,Gauche radicale,1.6685878962536023,2025-07-01
2025-08,Centre / Majorite,-1.1428571428571428,2025-08-01
2025-08,Droite,-1.7272727272727273,2025-08-01
2025-08,Gauche moderee,1.1,2025-08-01
2025-08,Gauche radicale,1.7716535433070866,2025-08-01
2025-09,Centre / Majorite,-0.14285714285714285,2025-09-01
2025-09,Droite,-1.2765957446808511,2025-09-01
2025-09,Gauche moderee,1.0701754385964912,2025-09-01
2025-09,Gauche radicale,1.7142857142857142,2025-09-01
2025-10,Centre / Majorite,-1.087719298245614,2025-10-01
2025-10,Droite,-1.1,2025-10-01
2025-10,Gauche moderee,-0.1,2025-10-01
2025-10,Gauche radicale,1.646153846153846,2025-10-01
2025-11,Centre / Majorite,-0.4,2025-11-01
2025-11,Droite,-1.4705882352941178,2025-11-01
2025-11,Gauche moderee,0.6842105263157895,2025-11-01
2025-11,Gauche radicale,1.683168316831683,2025-11-01
2025-12,Centre / Majorite,-1.0,2025-12-01
2025-12,Droite,-1.4545454545454546,2025-12-01
2025-12,Gauche moderee,-0.26666666666666666,2025-12-01
2025-12,Gauche radicale,1.6082474226804124,2025-12-01
2026-01,Centre / Majorite,-0.75,2026-01-01
2026-01,Droite,-2.0,2026-01-01
2026-01,Gauche moderee,-1.0,2026-01-01
2026-01,Gauche radicale,1.2054794520547945,2026-01-01
