param,coef,pvalue
Intercept,0.03172594325843576,0.9058235661870092
C(bloc)[T.Droite],-0.15164609135811108,0.5169034301006096
C(bloc)[T.Gauche moderee],-0.4191473907737591,0.13204867057752184
C(bloc)[T.Gauche radicale],0.5036437207249715,0.010753396436384951
C(batch)[T.CHOC],0.1195775593296056,0.6559853987339928
C(batch)[T.NEW_OFFENSIVE],-0.04562732075925816,0.8567895688540537
C(batch)[T.OTHER],-0.3207608334495984,0.6426498124569917
C(batch)[T.POST_CIJ],-0.09658355669909689,0.7589630637575637
C(batch)[T.POST_SINWAR],-0.1684820519686332,0.6793499153191092
C(batch)[T.RAFAH],-0.45738095542733426,0.11910645791982834
n_tweets,-0.005571491976363437,0.5007185582992828
engagement_mean,0.0003129118184793381,0.14351580493595867
