month,bloc,wd_norm
2023-10,Gauche radicale,0.0
2023-11,Gauche radicale,0.02709442420846176
2023-12,Gauche radicale,0.06613834987409273
2024-01,Gauche radicale,0.11624305412636345
2024-02,Gauche radicale,0.07483204134366926
2024-03,Gauche radicale,0.058163460618240986
2024-04,Gauche radicale,0.07843006596921437
2024-05,Gauche radicale,0.11546435128518973
2024-06,Gauche radicale,0.04880029531192323
2024-07,Gauche radicale,0.10540019974318732
2024-08,Gauche radicale,0.08856001879257692
2024-09,Gauche radicale,0.07552971576227391
2024-10,Gauche radicale,0.11072093023255813
2024-11,Gauche radicale,0.08590185823967955
2024-12,Gauche radicale,0.13275005644615037
2025-01,Gauche radicale,0.06203328355024536
2025-02,Gauche radicale,0.05435784621831133
2025-03,Gauche radicale,0.04859079008162637
2025-04,Gauche radicale,0.1000252780586451
2025-05,Gauche radicale,0.08137653345375179
2025-06,Gauche radicale,0.09248005432014939
2025-07,Gauche radicale,0.10086790429595871
2025-08,Gauche radicale,0.1266343160593298
2025-09,Gauche radicale,0.11229235880398672
2025-10,Gauche radicale,0.09525939177101968
2025-11,Gauche radicale,0.10511167395809348
2025-12,Gauche radicale,0.09194437784703909
2026-01,Gauche radicale,0.02858659870447063
2023-10,Gauche moderee,0.0
2023-11,Gauche moderee,0.01191325014854427
2023-12,Gauche moderee,0.059232026143790854
2024-01,Gauche moderee,0.15490196078431373
2024-02,Gauche moderee,0.13368983957219252
2024-03,Gauche moderee,0.18482620320855614
2024-04,Gauche moderee,0.02610579115367078
2024-05,Gauche moderee,0.1425831202046036
2024-06,Gauche moderee,0.08067810457516339
2024-07,Gauche moderee,0.08823529411764706
2024-08,Gauche moderee,0.07751225490196079
2024-09,Gauche moderee,0.11204481792717086
2024-10,Gauche moderee,0.12084398976982097
2024-11,Gauche moderee,0.12113003095975235
2024-12,Gauche moderee,0.11323529411764707
2025-01,Gauche moderee,0.07065584854631507
2025-02,Gauche moderee,0.02900326797385619
2025-03,Gauche moderee,0.10212418300653595
2025-04,Gauche moderee,0.0784313725490196
2025-05,Gauche moderee,0.07483660130718953
2025-06,Gauche moderee,0.06621947024423804
2025-07,Gauche moderee,0.18823529411764706
2025-08,Gauche moderee,0.11323529411764706
2025-09,Gauche moderee,0.10577915376676986
2025-10,Gauche moderee,0.18676470588235292
2025-11,Gauche moderee,0.08771929824561404
2025-12,Gauche moderee,0.2284313725490196
2023-10,Centre / Majorite,0.0
2023-11,Centre / Majorite,0.04771852666300162
2023-12,Centre / Majorite,0.17647058823529416
2024-01,Centre / Majorite,0.027696078431372548
2024-02,Centre / Majorite,0.031900452488687794
2024-03,Centre / Majorite,0.04835210680016691
2024-04,Centre / Majorite,0.031372549019607836
2024-05,Centre / Majorite,0.0706636500754148
2024-06,Centre / Majorite,0.08229638009049772
2024-07,Centre / Majorite,0.0513071895424837
2024-08,Centre / Majorite,0.10406162464985992
2024-09,Centre / Majorite,0.07549019607843135
2024-10,Centre / Majorite,0.029621848739495804
2024-11,Centre / Majorite,0.026470588235294107
2024-12,Centre / Majorite,0.1014705882352941
2025-01,Centre / Majorite,0.12890961262553804
2025-02,Centre / Majorite,0.04445187165775402
2025-03,Centre / Majorite,0.04365874009178142
2025-04,Centre / Majorite,0.09185520361990954
2025-05,Centre / Majorite,0.10686274509803925
2025-06,Centre / Majorite,0.0863843813387424
2025-07,Centre / Majorite,0.05515496521189125
2025-08,Centre / Majorite,0.061204481792717064
2025-09,Centre / Majorite,0.19075630252100842
2025-10,Centre / Majorite,0.047420020639834845
2025-11,Centre / Majorite,0.15882352941176472
2025-12,Centre / Majorite,0.043977591036414576
2026-01,Centre / Majorite,0.10882352941176472
2023-10,Droite,0.0
2023-11,Droite,0.06493769470404985
2023-12,Droite,0.09208333333333332
2024-01,Droite,0.02395833333333333
2024-02,Droite,0.029583333333333323
2024-03,Droite,0.042990867579908665
2024-04,Droite,0.03813725490196079
2024-05,Droite,0.02896825396825395
2024-06,Droite,0.02833333333333335
2024-07,Droite,0.05083333333333334
2024-08,Droite,0.02568627450980393
2024-09,Droite,0.04754385964912279
2024-10,Droite,0.09536231884057972
2024-11,Droite,0.06100775193798448
2024-12,Droite,0.21333333333333332
2025-01,Droite,0.13586021505376344
2025-02,Droite,0.03833333333333333
2025-03,Droite,0.01520325203252032
2025-04,Droite,0.023749999999999993
2025-05,Droite,0.013603603603603603
2025-06,Droite,0.021848184818481844
2025-07,Droite,0.02716450216450214
2025-08,Droite,0.07015151515151516
2025-09,Droite,0.04251773049645392
2025-10,Droite,0.09833333333333333
2025-11,Droite,0.04480392156862745
2025-12,Droite,0.029696969696969708
